No,CardNumber,UserName,TransactionDate,MerchantName,SupplyAmount,VAT,TransactionAmount,UsageType,MerchantRepresentativeName,MerchantAddress,BusinessRegistrationNumber,ApprovalNumber,TaxType,SlipType,USDAmount,USDExchangeRate,ApprovalTime,MerchantIndustryName,FuelType,PriceperLiter,EntryType
17,9410-90**-****-4471,정하은,2026-04-13,롯데호텔,154023,15402,169425,숙박비,조현우,서울 종로구 세종대로 234,991-93-30232,20043277,과세,매입전표,0,0,18:06:33,호텔/숙박,,,승인
18,9410-78**-****-1123,최지우,2026-04-14,대한항공,241768,24177,265945,출장교통비,오유진,인천 중구 공항로 295,303-19-87607,94187049,과세,매입전표,0,0,08:59:19,항공/철도,,,승인
19,9410-12**-****-3456,김민준,2026-04-14,크린토피아 삼성점,21825,2182,24007,사무용품,박영희,서울 강남구 학동로 426 인근 3길 1,323-39-76237,90801586,과세,매입전표,0,0,12:05:37,세탁/생활편의,,,승인
20,9410-34**-****-7812,이서연,2026-04-14,타임스퀘어 주차장,23337,2334,25671,주차비,권태우,서울 영등포구 국제금융로 209,342-30-33206,65337219,과세,매입전표,0,0,14:49:35,주차장,,,승인
21,9410-22**-****-6634,윤소율,2026-04-14,대한항공,105232,10523,115755,출장교통비,서예린,서울 종로구 세종대로 189,331-64-83526,93446356,과세,매입전표,0,0,14:54:35,항공/철도,,,승인
22,9410-90**-****-4471,정하은,2026-04-15,카카오T 택시,35276,3528,38804,교통비,최은정,서울 성남시 분당구 판교역로 1,630-56-91609,76906611,과세,매입전표,0,0,17:55:32,택시운송,,,승인
23,9410-90**-****-4471,정하은,2026-04-15,카카오T 택시,37661,3766,41427,교통비,정민호,서울 중구 을지로 79,621-44-64459,74759996,과세,매입전표,0,0,18:07:41,택시운송,,,승인
24,9410-11**-****-8890,강태윤,2026-04-17,차이나가든,19783,1978,21761,식대,송미경,서울 영등포구 국제금융로 140,593-47-54396,25457816,과세,매입전표,0,0,14:33:32,중식,,,승인
25,9410-78**-****-1123,최지우,2026-04-17,SK에너지 주유소,125243,12524,137767,유류비,강수진,서울 강남구 테헤란로 7,288-16-43092,74119726,과세,매입전표,0,0,18:06:55,주유소,경유,1580,승인
26,9410-12**-****-3456,김민준,2026-04-19,SG골프 학동로점,113579,11358,124937,거래처접대,오유진,서울 강남구 학동로 426 인근 35길 9,698-64-86484,63606628,과세,매입전표,0,0,21:08:15,스크린골프,,,승인
27,9410-78**-****-1123,최지우,2026-04-20,강남정식,44960,4496,49456,식대,윤보라,서울 종로구 세종대로 59,816-42-58351,32520277,과세,매입전표,0,0,12:08:30,한식,,,승인
28,9410-56**-****-2290,박도윤,2026-04-20,GS칼텍스 주유소,142591,14259,156850,유류비,강수진,서울 영등포구 국제금융로 79,655-69-64496,18357162,과세,매입전표,0,0,12:24:44,주유소,휘발유,1650,승인
29,9410-44**-****-9902,임재현,2026-04-23,GS칼텍스 주유소,115570,11557,127127,유류비,오유진,서울 강남구 테헤란로 118,143-65-12456,71707170,과세,매입전표,0,0,11:24:34,주유소,경유,1650,승인
30,9410-56**-****-2290,박도윤,2026-04-23,모범택시,27654,2765,30419,교통비,강수진,서울 강남구 테헤란로 223,546-87-77033,25521714,과세,매입전표,0,0,13:02:06,택시운송,,,승인
31,9410-11**-****-8890,강태윤,2026-04-25,SK에너지 주유소,132345,13234,145579,유류비,윤보라,서울 중구 을지로 71,134-84-57823,27637794,과세,매입전표,0,0,13:43:48,주유소,휘발유,1650,승인
32,9410-12**-****-3456,김민준,2026-04-29,차이나가든,24003,2400,26403,식대,김성수,서울 강남구 테헤란로 31,980-52-19287,79008866,과세,매입전표,0,0,08:04:45,중식,,,승인
33,9410-11**-****-8890,강태윤,2026-04-30,대한항공,277615,27762,305377,출장교통비,정민호,서울 종로구 세종대로 52,129-15-52516,17532195,과세,매입전표,0,0,09:27:06,항공/철도,,,승인
34,9410-12**-****-3456,김민준,2026-04-30,스포애니 삼성점,63238,6324,69562,복리후생비,윤보라,서울 강남구 학동로 426 인근 25길 9,750-56-31319,59684848,과세,매입전표,0,0,19:54:14,헬스/피트니스,,,승인
35,9410-56**-****-2290,박도윤,2026-05-02,이자카야 온,187034,18703,205737,거래처접대,정민호,인천 중구 공항로 267,550-19-47450,41473195,과세,매입전표,0,0,13:49:49,일식,,,승인
36,9410-90**-****-4471,정하은,2026-05-04,S-OIL 주유소,79466,7947,87413,유류비,박영희,인천 중구 공항로 279,161-31-50319,89865458,과세,매입전표,0,0,12:27:07,주유소,휘발유,1720,승인
37,9410-22**-****-6634,윤소율,2026-05-05,대한항공,223165,22316,245481,출장교통비,이철수,서울 중구 을지로 159,990-28-84228,98227303,과세,매입전표,0,0,08:11:17,항공/철도,,,승인
38,9410-78**-****-1123,최지우,2026-05-05,모범택시,23279,2328,25607,교통비,최은정,서울 성남시 분당구 판교역로 45,868-69-84691,91917334,과세,매입전표,0,0,14:54:15,택시운송,,,승인
39,9410-90**-****-4471,정하은,2026-05-07,롯데호텔,181831,18183,200014,숙박비,임동혁,서울 종로구 세종대로 249,723-40-30758,51708177,과세,취소전표,0,0,18:56:44,호텔/숙박,,,취소
40,9410-44**-****-9902,임재현,2026-05-10,타임스퀘어 주차장,13144,1314,14458,주차비,임동혁,서울 중구 을지로 44,910-52-26750,99941500,과세,매입전표,0,0,17:08:38,주차장,,,승인
41,9410-22**-****-6634,윤소율,2026-05-12,스시효,93228,9323,102551,거래처접대,한지훈,서울 영등포구 국제금융로 27,216-18-72422,70166480,과세,매입전표,0,0,08:11:16,일식,,,승인
42,9410-22**-****-6634,윤소율,2026-05-13,이자카야 온,249021,24902,273923,거래처접대,정민호,서울 강남구 테헤란로 217,714-49-56090,23905032,과세,매입전표,0,0,09:26:22,일식,,,승인
43,9410-44**-****-9902,임재현,2026-05-15,북경각,25775,2578,28353,식대,서예린,서울 중구 을지로 75,256-93-19876,33776150,과세,매입전표,0,0,11:15:06,중식,,,승인
44,9410-90**-****-4471,정하은,2026-05-15,알파문구,31079,3108,34187,사무용품,오유진,인천 중구 공항로 54,607-46-96846,63747791,과세,매입전표,0,0,17:21:20,문구/사무용품,,,승인
45,9410-78**-****-1123,최지우,2026-05-15,S-OIL 주유소,96112,9611,105723,유류비,최은정,서울 중구 을지로 170,223-34-51359,26046365,과세,매입전표,0,0,17:47:35,주유소,경유,1720,승인
46,9410-11**-****-8890,강태윤,2026-05-17,정성한상,50259,5026,55285,식대,조현우,서울 종로구 세종대로 279,382-34-26011,71031132,과세,매입전표,0,0,09:43:23,한식,,,승인
47,9410-11**-****-8890,강태윤,2026-05-19,신라스테이,273594,27359,300953,숙박비,권태우,서울 서초구 강남대로 120,674-51-89964,39711402,과세,취소전표,0,0,14:06:43,호텔/숙박,,,취소
48,9410-11**-****-8890,강태윤,2026-05-19,SK에너지 주유소,52875,5288,58163,유류비,송미경,서울 성남시 분당구 판교역로 152,802-16-89482,76669607,과세,취소전표,0,0,14:36:18,주유소,경유,1720,취소
49,9410-44**-****-9902,임재현,2026-05-22,차이나가든,31250,3125,34375,식대,배진호,인천 중구 공항로 159,272-19-76910,94989976,과세,매입전표,0,0,09:25:55,중식,,,승인
50,9410-90**-****-4471,정하은,2026-05-23,투썸플레이스,27608,2761,30369,다과비,조현우,서울 중구 을지로 243,495-94-95461,30415230,과세,매입전표,0,0,08:20:47,커피전문점,,,승인
51,9410-11**-****-8890,강태윤,2026-05-23,GS칼텍스 주유소,129887,12989,142876,유류비,서예린,서울 영등포구 국제금융로 41,246-39-70443,95618110,과세,매입전표,0,0,11:10:11,주유소,경유,1680,승인
52,9410-34**-****-7812,이서연,2026-05-23,본가설렁탕,33070,3307,36377,식대,송미경,서울 서초구 강남대로 56,581-38-36158,71780854,과세,매입전표,0,0,12:17:10,한식,,,승인
53,9410-34**-****-7812,이서연,2026-05-24,대한항공,209722,20972,230694,출장교통비,조현우,서울 중구 을지로 105,234-95-94607,50264926,과세,매입전표,0,0,14:59:16,항공/철도,,,승인
54,9410-56**-****-2290,박도윤,2026-05-25,알파문구,16590,1659,18249,사무용품,강수진,서울 중구 을지로 94,316-68-52840,55298556,과세,매입전표,0,0,11:55:29,문구/사무용품,,,승인
55,9410-78**-****-1123,최지우,2026-05-26,타임스퀘어 주차장,8013,801,8814,주차비,오유진,인천 중구 공항로 236,634-93-45400,92666356,과세,매입전표,0,0,14:40:57,주차장,,,승인
56,9410-56**-****-2290,박도윤,2026-05-27,알파문구,21114,2111,23225,사무용품,임동혁,서울 중구 을지로 87,748-89-53933,22534217,과세,매입전표,0,0,12:32:30,문구/사무용품,,,승인
57,9410-78**-****-1123,최지우,2026-05-27,대한항공,205107,20511,225618,출장교통비,김성수,인천 중구 공항로 220,724-22-37235,93955206,과세,매입전표,0,0,13:55:37,항공/철도,,,승인
58,9410-44**-****-9902,임재현,2026-05-28,대한항공,85229,8523,93752,출장교통비,송미경,서울 영등포구 국제금융로 147,192-88-87867,78057490,과세,매입전표,0,0,08:03:23,항공/철도,,,승인
59,9410-12**-****-3456,김민준,2026-05-28,세븐일레븐 강남구청점,8231,823,9054,다과비,정민호,서울 강남구 학동로 426 인근 28길 11,259-37-54118,23718431,과세,매입전표,0,0,19:48:51,편의점,,,승인
60,9410-11**-****-8890,강태윤,2026-05-30,GS칼텍스 주유소,59681,5968,65649,유류비,정민호,서울 영등포구 국제금융로 81,754-64-42780,71315464,과세,매입전표,0,0,13:43:34,주유소,경유,1720,승인
61,9410-34**-****-7812,이서연,2026-06-01,카카오T 택시,17178,1718,18896,교통비,박영희,서울 서초구 강남대로 42,791-40-62923,26090908,과세,매입전표,0,0,11:03:32,택시운송,,,승인
62,9410-78**-****-1123,최지우,2026-06-02,오피스디포,54608,5461,60069,사무용품,서예린,서울 강남구 테헤란로 133,818-45-82848,11362459,과세,매입전표,0,0,12:22:51,문구/사무용품,,,승인
63,9410-22**-****-6634,윤소율,2026-06-02,코엑스 주차장,22638,2264,24902,주차비,최은정,서울 강남구 테헤란로 203,408-37-27987,44295247,과세,매입전표,0,0,13:02:14,주차장,,,승인
64,9410-12**-****-3456,김민준,2026-06-04,카카오T 택시,5037,504,5541,교통비,윤보라,인천 중구 공항로 83,119-24-57576,51273847,과세,매입전표,0,0,12:09:23,택시운송,,,승인
65,9410-56**-****-2290,박도윤,2026-06-07,스타벅스,24575,2458,27033,다과비,권태우,서울 성남시 분당구 판교역로 227,616-64-81810,69849511,과세,매입전표,0,0,14:48:57,커피전문점,,,승인
66,9410-12**-****-3456,김민준,2026-06-08,코스트코 삼성점,96939,9694,106633,사무용품,윤보라,서울 강남구 학동로 426 인근 28길 6,103-43-75612,33978249,과세,매입전표,0,0,13:21:07,대형마트/슈퍼,,,승인
67,9410-44**-****-9902,임재현,2026-06-09,차이나가든,48141,4814,52955,식대,이철수,인천 중구 공항로 68,285-98-91885,32218290,과세,매입전표,0,0,08:42:21,중식,,,승인
68,9410-90**-****-4471,정하은,2026-06-10,이디야커피,19262,1926,21188,다과비,윤보라,서울 서초구 강남대로 210,398-14-40340,48668783,과세,매입전표,0,0,09:10:00,커피전문점,,,승인
69,9410-56**-****-2290,박도윤,2026-06-10,S-OIL 주유소,138777,13878,152655,유류비,송미경,서울 성남시 분당구 판교역로 195,100-48-47606,38210242,과세,매입전표,0,0,11:12:26,주유소,휘발유,1720,승인
70,9410-34**-****-7812,이서연,2026-06-11,SK에너지 주유소,121511,12151,133662,유류비,이철수,서울 서초구 강남대로 77,540-26-15482,51373735,과세,매입전표,0,0,08:07:04,주유소,휘발유,1720,승인
71,9410-78**-****-1123,최지우,2026-06-11,카카오T 택시,34371,3437,37808,교통비,박영희,서울 강남구 테헤란로 252,401-38-63005,42655866,과세,매입전표,0,0,12:44:30,택시운송,,,승인
72,9410-90**-****-4471,정하은,2026-06-13,SK에너지 주유소,125529,12553,138082,유류비,임동혁,서울 강남구 테헤란로 138,552-45-33788,88561612,과세,매입전표,0,0,08:48:43,주유소,휘발유,1680,승인
73,9410-22**-****-6634,윤소율,2026-06-16,투썸플레이스,8759,876,9635,다과비,배진호,서울 영등포구 국제금융로 75,278-24-96646,13460153,과세,매입전표,0,0,08:17:54,커피전문점,,,승인
74,9410-78**-****-1123,최지우,2026-06-16,스타벅스,15877,1588,17465,다과비,임동혁,서울 서초구 강남대로 22,479-18-76317,96911784,과세,매입전표,0,0,09:50:36,커피전문점,,,승인
75,9410-90**-****-4471,정하은,2026-06-16,롯데호텔,352552,35255,387807,숙박비,조현우,서울 성남시 분당구 판교역로 142,448-74-45018,10344303,과세,매입전표,0,0,11:55:04,호텔/숙박,,,승인
76,9410-34**-****-7812,이서연,2026-06-18,SK에너지 주유소,89240,8924,98164,유류비,권태우,서울 성남시 분당구 판교역로 284,209-80-30374,46553958,과세,매입전표,0,0,08:42:52,주유소,휘발유,1680,승인
77,9410-22**-****-6634,윤소율,2026-06-18,센터필드 주차장,12883,1288,14171,주차비,김성수,서울 중구 을지로 267,162-71-62640,67213476,과세,매입전표,0,0,08:46:50,주차장,,,승인
78,9410-34**-****-7812,이서연,2026-06-19,신라스테이,282614,28261,310875,숙박비,권태우,인천 중구 공항로 110,457-18-42018,59597086,과세,매입전표,0,0,09:04:34,호텔/숙박,,,승인
79,9410-34**-****-7812,이서연,2026-06-21,S-OIL 주유소,56658,5666,62324,유류비,김성수,서울 종로구 세종대로 129,103-52-27146,95511909,과세,매입전표,0,0,13:32:31,주유소,휘발유,1580,승인
80,9410-44**-****-9902,임재현,2026-06-21,차이나가든,10366,1037,11403,식대,이철수,서울 중구 을지로 208,920-89-70305,58567046,과세,매입전표,0,0,17:18:07,중식,,,승인
81,9410-44**-****-9902,임재현,2026-06-22,오피스디포,83133,8313,91446,사무용품,정민호,서울 서초구 강남대로 49,358-94-88997,30182766,과세,매입전표,0,0,14:04:21,문구/사무용품,,,승인
82,9410-11**-****-8890,강태윤,2026-06-23,북경각,11438,1144,12582,식대,윤보라,인천 중구 공항로 24,218-22-40775,82148284,과세,매입전표,0,0,17:07:08,중식,,,승인
83,9410-34**-****-7812,이서연,2026-06-23,BBQ 강남구청점,33491,3349,36840,식대,윤보라,서울 마포구 월드컵로 240 인근 11길 14,592-37-62565,17869910,과세,매입전표,0,0,19:05:59,치킨/호프,,,승인
84,9410-90**-****-4471,정하은,2026-06-24,S-OIL 주유소,120592,12059,132651,유류비,배진호,서울 영등포구 국제금융로 229,656-58-69682,53188224,과세,매입전표,0,0,18:55:09,주유소,경유,1720,승인
85,9410-22**-****-6634,윤소율,2026-06-25,오피스디포,18799,1880,20679,사무용품,박영희,서울 서초구 강남대로 243,195-65-22656,60015814,과세,매입전표,0,0,13:23:09,문구/사무용품,,,승인
86,9410-22**-****-6634,윤소율,2026-06-26,홍콩반점,40828,4083,44911,식대,조현우,서울 종로구 세종대로 218,379-37-77154,25276327,과세,매입전표,0,0,09:17:28,중식,,,승인
87,9410-34**-****-7812,이서연,2026-06-26,SG골프 학동로점,92772,9277,102049,거래처접대,최은정,서울 마포구 월드컵로 240 인근 22길 4,296-34-80292,70211891,과세,매입전표,0,0,13:06:03,스크린골프,,,승인
88,9410-11**-****-8890,강태윤,2026-06-26,롯데호텔,245885,24588,270473,숙박비,조현우,서울 종로구 세종대로 286,114-43-80329,26587799,과세,매입전표,0,0,17:54:51,호텔/숙박,,,승인
89,9410-78**-****-1123,최지우,2026-06-27,홍콩반점,28912,2891,31803,식대,최은정,서울 성남시 분당구 판교역로 289,221-81-64548,91378577,과세,매입전표,0,0,08:09:09,중식,,,승인
90,9410-12**-****-3456,김민준,2026-06-27,이마트 삼성점,64862,6486,71348,사무용품,이철수,서울 강남구 학동로 426 인근 35길 8,573-58-45382,95899313,과세,매입전표,0,0,13:04:38,대형마트/슈퍼,,,승인
91,9410-44**-****-9902,임재현,2026-06-27,신라스테이,189572,18957,208529,숙박비,윤보라,인천 중구 공항로 162,552-90-49691,46866075,과세,매입전표,0,0,14:55:40,호텔/숙박,,,승인
92,9410-12**-****-3456,김민준,2026-06-28,모범택시,29472,2947,32419,교통비,한지훈,서울 종로구 세종대로 205,562-25-42493,40158366,과세,매입전표,0,0,12:45:19,택시운송,,,승인
93,9410-56**-****-2290,박도윤,2026-06-29,폴바셋,16964,1696,18660,다과비,강수진,서울 성남시 분당구 판교역로 295,405-59-64921,82238741,과세,매입전표,0,0,08:54:56,커피전문점,,,승인
94,9410-90**-****-4471,정하은,2026-06-29,코레일,303890,30389,334279,출장교통비,서예린,서울 성남시 분당구 판교역로 277,140-65-52247,91029073,과세,매입전표,0,0,17:17:32,항공/철도,,,승인
95,9410-11**-****-8890,강태윤,2026-06-29,사케동,168759,16876,185635,거래처접대,송미경,서울 성남시 분당구 판교역로 80,601-88-63492,47546086,과세,매입전표,0,0,17:37:47,일식,,,승인
96,9410-78**-****-1123,최지우,2026-07-02,카카오T 택시,24414,2441,26855,교통비,이철수,서울 종로구 세종대로 100,409-11-80010,26989677,과세,매입전표,0,0,13:06:53,택시운송,,,승인
97,9410-12**-****-3456,김민준,2026-07-02,이디야커피,30960,3096,34056,다과비,박영희,서울 서초구 강남대로 243,199-94-66498,57553014,과세,매입전표,0,0,18:15:50,커피전문점,,,승인
98,9410-56**-****-2290,박도윤,2026-07-06,교보문고,33053,3305,36358,사무용품,오유진,서울 종로구 세종대로 113,630-69-16582,84813739,과세,매입전표,0,0,09:49:27,문구/사무용품,,,승인
99,9410-34**-****-7812,이서연,2026-07-10,BBQ 강남구청점,54422,5442,59864,식대,최은정,서울 마포구 월드컵로 240 인근 32길 5,403-37-17665,87736262,과세,매입전표,0,0,21:27:44,치킨/호프,,,승인
100,9410-22**-****-6634,윤소율,2026-07-11,코레일,157734,15773,173507,출장교통비,권태우,서울 성남시 분당구 판교역로 283,333-62-54424,70867592,과세,매입전표,0,0,09:54:41,항공/철도,,,승인
